timestamp_utc,kind,relative_path,outcome
2026-08-29T06:35:00.745329+00:00,sidecar,AmaLee/Unknown Album/32 Courage (From _Sword Art Online II_).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Amane Kanata/Unknown Album/33 【1人2役】獣ゆく細道／天音かなた(Cover).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Amane Kanata/Unknown Album/33 【1人2役】獣ゆく細道／天音かなた(Cover).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Amazing world of JAPANESE MUSIC/Unknown Album/34 Inkya Impulse (インキャインパルス) Asobi Asobase Ending Full.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Amazing world of JAPANESE MUSIC/Unknown Album/34 Inkya Impulse (インキャインパルス) Asobi Asobase Ending Full.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Aooo/Aooo/37 イエロートイ.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aooo/Aooo/37 イエロートイ.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Aooo/Aooo/38 サラダボウル.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aooo/Aooo/38 サラダボウル.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Aooo/SALAD BOWL/01 サラダボウル - SALAD BOWL.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aooo/SALAD BOWL/01 サラダボウル - SALAD BOWL.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,April/Unknown Album/42 ねこぼーろ - 嘘と絵画.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,April/Unknown Album/42 ねこぼーろ - 嘘と絵画.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Aquarifa/Tsukiakari No Seinishite/45 switch.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aquarifa/Tsukiakari No Seinishite/45 switch.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Aquarifa/kimi-to-mita-tuki-wo-sagashite/07 switch.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aquarifa/kimi-to-mita-tuki-wo-sagashite/07 switch.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Arknights Official - Yostar/Unknown Album/46 Arknights EP - [Requiem].m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Arknights Official - Yostar/Unknown Album/46 Arknights EP - [Requiem].lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Arlo Parks/Collapsed In Sunbeams/47 Caroline.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Arlo Parks/Collapsed In Sunbeams/47 Caroline.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Asian Shoegaze/Unknown Album/50 揺らぎ - night life e. p. [HQ].m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Asian Shoegaze/Unknown Album/50 揺らぎ - night life e. p. [HQ].lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,AsianIceCreamJK/Unknown Album/51 Tommy Heavenly - Pray [Opening 1 Gintama](Sub Español - Romaji).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,AsianIceCreamJK/Unknown Album/51 Tommy Heavenly - Pray [Opening 1 Gintama](Sub Español - Romaji).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Astrophysics/Unknown Album/52 Sewerslvt - Pretty Cvnt (Astrophysics Remix).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Astrophysics/Unknown Album/52 Sewerslvt - Pretty Cvnt (Astrophysics Remix).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Audiotree/Unknown Album/53 Delta Sleep on Audiotree Live (Full Session).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Audiotree/Unknown Album/53 Delta Sleep on Audiotree Live (Full Session).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Audiotree/Unknown Album/54 La Dispute on Audiotree Live (Full Session).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Audiotree/Unknown Album/54 La Dispute on Audiotree Live (Full Session).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,"Audiotree/Unknown Album/55 Beat 'em Up, Donatello! - Casey Jones _ Dancing Alone _ Audiotree Worldwide.m4a",deleted
2026-08-29T06:35:00.745329+00:00,sidecar,"Audiotree/Unknown Album/55 Beat 'em Up, Donatello! - Casey Jones _ Dancing Alone _ Audiotree Worldwide.lrc",not_present
2026-08-29T06:35:00.745329+00:00,audio,Audiotree/Unknown Album/56 Hana Vu on Audiotree Live (Full Session).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Audiotree/Unknown Album/56 Hana Vu on Audiotree Live (Full Session).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Austin Weber/Unknown Album/57 THIS MAN FLEW TO JAPAN TO SING ABBA IN A BIG COLD RIVER - _Mamma Mia_ (Official Music Video).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Austin Weber/Unknown Album/57 THIS MAN FLEW TO JAPAN TO SING ABBA IN A BIG COLD RIVER - _Mamma Mia_ (Official Music Video).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Avenged Sevenfold/Unknown Album/58 Malagueña Salerosa.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Avenged Sevenfold/Unknown Album/58 Malagueña Salerosa.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,BABYSBARTER/Unknown Album/1381 Heatmiser - Christian Brothers.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BABYSBARTER/Unknown Album/1381 Heatmiser - Christian Brothers.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BADBADNOTGOOD/BBNG x Odd Future/60 SHE.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BADBADNOTGOOD/BBNG x Odd Future/60 SHE.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BAND-MAID/Sense/61 Sense.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BAND-MAID/Sense/61 Sense.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,BASI/MELLOW/64 BASI _ 果てない (Official Video).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BASI/MELLOW/64 BASI _ 果てない (Official Video).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,BLACKBUTZ/Unknown Album/66 Blurry Eyes _ L'Arc〜en〜Ciel(cover).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BLACKBUTZ/Unknown Album/66 Blurry Eyes _ L'Arc〜en〜Ciel(cover).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BRDNST/Aruarian Dance/69 _Samurai Champloo - Shiki No Uta_ (Nujabes) - The Brotet.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BRDNST/Aruarian Dance/69 _Samurai Champloo - Shiki No Uta_ (Nujabes) - The Brotet.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BRDNST/Unknown Album/70 JBird - I'm Kool Now [Official Music Video].m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BRDNST/Unknown Album/70 JBird - I'm Kool Now [Official Music Video].lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BRDNST/Unknown Album/71 Luv[sic] VI (JBird Ver.).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BRDNST/Unknown Album/71 Luv[sic] VI (JBird Ver.).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,BUTAOTOME/Trauma Recorder/72 トラウマレコーダー - Trauma Recorder.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BUTAOTOME/Trauma Recorder/72 トラウマレコーダー - Trauma Recorder.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Bad__Scooter/Unknown Album/73 Christone _Kingfish_ Ingram - Hey Joe_Redbone_Old Town Road.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Bad__Scooter/Unknown Album/73 Christone _Kingfish_ Ingram - Hey Joe_Redbone_Old Town Road.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Bentham/Re_ Public (2014-2019)/07 TONIGHT.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Bentham/Re_ Public (2014-2019)/07 TONIGHT.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Bentham/Re_ Wonder/78 Bentham _ Chicago【Official Music Video】.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Bentham/Re_ Wonder/78 Bentham _ Chicago【Official Music Video】.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Bentham/Unknown Album/77 Bentham _ White【Official Music Video】.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Bentham/Unknown Album/77 Bentham _ White【Official Music Video】.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,BetoCrazy/Unknown Album/79 CINDY - Angel Touch (1990) - Track 7 - 私達を信じていて.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,BetoCrazy/Unknown Album/79 CINDY - Angel Touch (1990) - Track 7 - 私達を信じていて.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Between The Buried And Me/Colors_Live/80 Mordecai.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Between The Buried And Me/Colors_Live/80 Mordecai.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Black Midi/Slow (loud)/83 Slow (Loud).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Black Midi/Slow (loud)/83 Slow (Loud).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Blume popo/apocalypsis/88 ゴルゴダ - Golgotha.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Blume popo/apocalypsis/88 ゴルゴダ - Golgotha.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Blumepopo/hana-wo-okuru/91 花を贈る - hana-wo-okuru.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Blumepopo/hana-wo-okuru/91 花を贈る - hana-wo-okuru.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Boris/Japanese Heavy Rock Hits Live -25th Anniversary Show-/93 BORIS _PINK_(official video).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Boris/Japanese Heavy Rock Hits Live -25th Anniversary Show-/93 BORIS _PINK_(official video).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,"Bradframe/Unknown Album/94 Let Us Just Call It Abstract - And As Technique Became Invisible, All That Was Left Was Pure Emotion.m4a",deleted
2026-08-29T06:35:00.745329+00:00,sidecar,"Bradframe/Unknown Album/94 Let Us Just Call It Abstract - And As Technique Became Invisible, All That Was Left Was Pure Emotion.lrc",not_present
2026-08-29T06:35:00.745329+00:00,audio,Brandy Senki/Unknown Album/96 ブランデー戦記 1st EP『人類滅亡ワンダーランド』トレーラー.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Brandy Senki/Unknown Album/96 ブランデー戦記 1st EP『人類滅亡ワンダーランド』トレーラー.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Burak Yiğit Ova/Unknown Album/97 Weeping Willows - Last Night I Dreamt That Somebody Loved Me.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Burak Yiğit Ova/Unknown Album/97 Weeping Willows - Last Night I Dreamt That Somebody Loved Me.lrc,not_present
